question,context,response,is_hallucination,hallucination_type
암보험 가입 시 가족력은 어떤 영향을 미치나요?,"가족력은 보험 가입 심사에서 중요한 요인으로 평가되며, 암 발생 위험도를 높게 평가받을 수 있습니다. 가족력이 있을 경우 보험료가 할증되거나 가입 조건에 제한이 있을 수 있습니다.",가족력은 암 발생 위험 평가에 영향을 미쳐 보험료 할증이나 가입 제한이 발생할 수 있습니다. 정확한 고지로 계약 유지에 유리한 조건을 확보할 수 있습니다.,False,
암보험의 “계약 전 알릴 의무”는 구체적으로 어떤 항목을 포함하나요?,"계약 전 알릴 의무는 피보험자의 건강 상태, 기존 병력, 치료 이력, 직업 및 위험 활동 등을 포함합니다. 이 의무를 위반할 경우 계약 해지 또는 보험금 지급 거절 등의 불이익이 있을 수 있습니다.","계약 전 알릴 의무는 건강 상태, 병력, 치료 이력, 직업 등을 포함합니다. 의무 위반 시 계약 해지나 보험금 지급 거절의 불이익이 발생할 수 있습니다.",False,
암보험의 특약 가입 시 보험료는 어떻게 달라지나요?,특약 가입 시 보험료는 선택한 특약의 보장 범위와 한도에 따라 추가로 부과됩니다. 특약이 많을수록 보험료가 높아질 가능성이 있습니다.,"특약 가입은 보험료를 증가시키며, 보장 범위와 한도에 따라 비용이 결정됩니다. 특약 선택 시 보험료 부담을 고려해야 합니다.",False,
특정 암이 아닌 희귀암 진단 시에도 보장이 되나요?,"희귀암은 약관에 명시된 조건에 따라 보장이 이루어지며, 특약을 통해 추가 보장을 받을 수 있습니다. 보장 여부는 계약 당시 선택한 상품 및 특약에 따라 다릅니다.","희귀암은 약관 조건에 따라 보장되며, 특약 가입 시 보장이 확대될 수 있습니다. 가입 시 보장 조건을 확인하는 것이 중요합니다.",False,
암보험의 가입 연령 제한은 몇 세까지인가요?,"암보험의 가입 연령 제한은 보험사별로 상이하며, 일반적으로 만 60세에서 70세까지로 설정됩니다. 가입 가능 연령은 약관에 명시되어 있습니다.",암보험 가입 연령 제한은 보통 만 60세에서 70세 사이로 설정됩니다. 정확한 연령 제한은 약관에서 확인 가능합니다.,False,
암보험의 면책 기간 중 발생한 암은 보장받을 수 없는 이유는?,면책 기간은 보험 가입 초기에 발생할 수 있는 도덕적 해이를 방지하기 위해 설정됩니다. 이 기간 동안 발생한 암은 보장에서 제외됩니다.,"면책 기간은 도덕적 해이를 방지하기 위해 설정되며, 이 기간 중 발생한 암은 보장되지 않습니다. 가입 초기 위험 관리를 위한 조치입니다.",False,
암보험의 “감액 지급 조건”은 계약자의 어떤 행동에 의해 영향을 받나요?,감액 지급 조건은 계약 초기에 발생하는 보험금 청구 시 적용됩니다. 계약자가 약관에 명시된 대로 보험료를 납부하지 않거나 고지 의무를 위반한 경우 영향을 받을 수 있습니다.,감액 지급 조건은 계약 초기에 보험금 청구가 발생할 때 적용됩니다. 고지 의무 위반 또는 보험료 미납은 영향을 미칠 수 있습니다.,False,
암보험에서 보장하지 않는 암 치료법은 무엇인가요?,보장되지 않는 치료법은 약관에 명시된 비급여 치료나 실험적 치료 등이 포함됩니다. 각 보험사의 약관에 따라 보장 여부가 달라질 수 있습니다.,암보험은 비급여 치료나 실험적 치료를 보장하지 않을 수 있습니다. 보장 여부는 약관에서 확인 가능합니다.,False,
암보험 가입 후 특약을 추가하려면 어떻게 해야 하나요?,"특약 추가는 보험사에 신청하여 승인을 받아야 하며, 추가 심사나 보험료 조정이 필요할 수 있습니다. 특약 추가 가능 여부는 약관에 명시되어 있습니다.","특약 추가를 위해 보험사에 신청해야 하며, 승인이 필요합니다. 추가 심사 및 보험료 조정이 이루어질 수 있습니다.",False,
암보험에서 “보장 개시일”과 “보험 증권 발급일”의 차이는 무엇인가요?,"보장 개시일은 면책 기간 이후 보장이 시작되는 날이며, 보험 증권 발급일은 계약이 성립된 날짜를 의미합니다. 이 두 날짜는 서로 다를 수 있습니다.","보장 개시일은 면책 기간 이후 보장이 시작되는 날이며, 보험 증권 발급일은 계약 성립일을 의미합니다. 두 날짜는 다를 수 있으므로 약관을 확인하세요.",False,
암보험의 “보험 수익자” 지정 방법은 무엇인가요?,"보험 수익자는 계약자가 지정하며, 지정된 수익자에게 보험금이 지급됩니다. 수익자는 계약 체결 시 또는 이후에 변경할 수 있으며, 변경 시 서면 신청이 필요합니다.","보험 수익자는 계약자가 지정하며, 변경 시 서면 신청이 필요합니다. 지정된 수익자에게 보험금이 지급됩니다.",False,
암보험 가입 시 전자 서명으로도 계약이 가능한가요?,전자 서명은 암보험 계약 체결 시 유효한 법적 서명으로 인정됩니다. 보험사는 전자 서명을 통한 계약 절차를 제공할 수 있습니다.,암보험은 전자 서명을 통해 계약 체결이 가능합니다. 전자 서명은 법적으로 유효합니다.,False,
암보험 가입자의 개인정보는 어떤 방식으로 보호되나요?,암보험 가입자의 개인정보는 개인정보 보호법에 따라 암호화 및 접근 통제로 보호됩니다. 보험사는 내부 규정을 통해 개인정보 유출을 방지합니다.,가입자의 개인정보는 암호화 및 접근 통제를 통해 보호됩니다. 보험사는 개인정보 보호법에 따라 관리를 강화합니다.,False,
암보험 해지 후 재가입 시 불이익이 발생할 수 있나요?,"해지 후 재가입 시 건강 상태 평가가 다시 이루어질 수 있으며, 보험료가 할증될 가능성이 있습니다. 기존 가입 조건이 유지되지 않을 수 있습니다.",해지 후 재가입 시 건강 심사와 보험료 할증이 발생할 수 있습니다. 기존 조건이 유지되지 않을 수 있습니다.,False,
암보험 가입 시 설계사가 제공해야 하는 설명 의무는 무엇인가요?,"설계사는 약관, 보험료, 보장 내용 및 주요 조건을 계약자에게 명확히 설명해야 합니다. 설명 의무를 다하지 않을 경우 계약자가 계약을 철회할 수 있습니다.","설계사는 약관, 보장 내용 및 주요 조건을 명확히 설명해야 합니다. 설명 의무 미이행 시 계약 철회가 가능합니다.",False,
암보험 약관에 명시된 “고액암”과 일반 암의 기준은 무엇인가요?,"고액암은 약관에서 정한 특정 암 유형으로, 일반 암보다 높은 보험금을 지급합니다. 고액암의 범위는 각 보험사의 약관에 따라 다릅니다.","고액암은 특정 암 유형으로, 일반 암보다 높은 보험금을 지급합니다. 범위는 약관에서 확인 가능합니다.",False,
암보험의 대출 기능을 활용할 때 주의해야 할 점은?,"대출 시 해약환급금에서 차감되며, 이자가 부과됩니다. 상환하지 않을 경우 최종 환급금이 줄어들 수 있습니다.","대출은 해약환급금에서 차감되며, 이자가 발생합니다. 상환하지 않으면 최종 환급금이 감소할 수 있습니다.",False,
암보험이 제공하는 “위험 보장”의 정의는 무엇인가요?,"위험 보장은 암 진단, 치료 등 약관에서 정한 보험 사고 발생 시 지급되는 보장을 의미합니다. 특약에 따라 보장의 범위가 확대될 수 있습니다.",위험 보장은 약관에서 정한 보험 사고 발생 시 제공되는 보장입니다. 특약 가입 시 보장이 확대됩니다.,False,
암보험에서 “계약 해지” 후 환급금을 받을 수 없는 경우는?,환급금 미지급형 상품의 경우 해지 시 환급금이 지급되지 않습니다. 초기 해지의 경우 납입 보험료보다 환급금이 적거나 없을 수 있습니다.,환급금 미지급형 상품은 해지 시 환급금이 없습니다. 초기 해지의 경우 환급금이 적거나 없을 수 있습니다.,False,
암보험의 계약 연체 상태에서 계약 복원이 거부될 수 있는 이유는?,"계약 연체 후 복원을 위해 건강 심사가 필요하며, 심사 결과에 따라 복원이 거부될 수 있습니다. 연체 기간이 길거나 약관에 명시된 복원 조건을 충족하지 못할 경우 거부될 수 있습니다.",건강 심사 실패나 약관 조건 미충족 시 복원이 거부될 수 있습니다. 연체 기간이 길 경우 복원이 제한될 수 있습니다.,False,
암보험 약관에서 “보장 한도”는 계약자의 선택에 따라 조정 가능한가요?,"보장 한도는 계약자가 선택한 상품 및 특약에 따라 설정되며, 일부는 조정이 가능합니다. 조정 가능 여부는 약관에서 확인해야 합니다.",보장 한도는 계약자가 선택한 상품 및 특약에 따라 설정됩니다. 조정 가능 여부는 약관을 참고하세요.,False,
암보험 가입 후 기존 보험 계약과 중복 보장이 가능한가요?,중복 보장은 약관에서 정한 범위 내에서 가능합니다. 일부 특약은 중복 보장이 제한될 수 있습니다.,암보험은 약관에서 정한 범위 내에서 중복 보장이 가능합니다. 특약에 따라 제한될 수 있습니다.,False,
암보험 약관에서 “보험료 자동 대출” 기능은 어떤 상황에서 유용한가요?,보험료 자동 대출은 보험료 미납 시 해약환급금에서 자동으로 대출하여 계약을 유지하는 데 유용합니다. 장기적으로 미납 상태를 방지할 수 있습니다.,보험료 미납 시 자동으로 대출하여 계약을 유지할 수 있습니다. 장기 미납 방지에 유용합니다.,False,
암보험 약관에서 자주 사용되는 용어를 쉽게 이해하려면 어떻게 해야 하나요?,약관의 용어 정의 섹션을 참고하거나 고객센터에 문의하여 도움을 받을 수 있습니다. 보험사에서 제공하는 설명 자료나 가이드를 활용하는 것도 도움이 됩니다.,약관의 용어 정의 섹션을 참고하거나 고객센터에 문의하세요. 설명 자료와 가이드를 활용하면 이해를 돕습니다.,False,
암보험 가입자의 건강 상태가 변경되면 보험료가 자동으로 조정되나요?,"건강 상태 변경은 보험료 조정에 영향을 미치지 않으며, 가입 당시 기준이 유지됩니다. 단, 새로운 보장을 추가하거나 변경할 경우 추가 심사가 필요할 수 있습니다.",건강 상태 변경은 기존 보험료에 영향을 미치지 않습니다. 보장 변경 시 추가 심사가 요구될 수 있습니다.,False,
암보험 약관에서 보장 항목에 포함되지 않는 경우는?,"암보험 약관에 따르면, 보장 항목은 약관에 명시된 특정 암 유형 및 보장 조건에 따라 결정됩니다. 예를 들어, 고액암, 유방암, 남녀생식기암 등 특정 암이 명시되어 있으며, 이외의 기타피부암, 제자리암 등은 별도로 정의됩니다. 계약 시 명시되지 않은 암 유형이나 면책 조건에 해당하는 경우 보장에서 제외될 수 있습니다.","암보험 약관에서 보장 항목에 포함되지 않는 경우는 약관에 명시되지 않은 암 유형이나 면책 조건에 해당하는 상황입니다. 예를 들어, 보장 대상 암에 포함되지 않은 피부암이나 특정 질병의 경우 보장되지 않을 수 있습니다.",False,
암보험의 계약자가 사망했을 때 계약이 유지되나요?,"암보험 약관에 따르면, 계약자가 사망한 경우 계약이 유지되기 위해서는 보험수익자 지정 및 보험료 납입이 지속되어야 합니다. 피보험자가 살아 있다면 계약이 유지될 수 있습니다.","암보험의 계약자가 사망했을 때, 피보험자가 살아 있으면 보험료 납입이 지속되는 조건에서 계약은 유지됩니다. 계약자는 사망 전에 보험수익자를 지정해야 합니다.",False,
암보험 약관에서 계약자가 보장 받을 수 없는 상황은?,"암보험 약관에서 계약자가 보장 받을 수 없는 상황은 면책 조건 및 보험금 지급 제외 사유에 해당할 경우입니다. 예를 들어, 고의적인 행위, 계약 체결 시 고지의무 위반, 면책 기간 중 발생한 사고 등이 포함됩니다.","암보험 약관에서 계약자가 보장 받을 수 없는 상황은 고의적 행위, 고지의무 위반, 면책 기간 중 사고 등이 해당됩니다.",False,
암보험 약관에서 “재해 분류표”는 어떤 용도로 사용되나요?,암보험 약관의 재해 분류표는 특정 재해 및 질병의 분류 기준을 명확히 하여 보험금 지급 대상 및 비대상을 구분하는 데 사용됩니다.,암보험 약관에서 '재해 분류표'는 특정 재해와 관련된 보험금 지급 기준을 명확히 하기 위해 사용됩니다.,False,
암보험 약관에서 “장해 분류표”란 무엇인가요?,암보험 약관의 장해 분류표는 장해 발생 시 보험금 지급 기준을 상세히 명시하여 분류 및 적용 기준을 제공합니다.,암보험 약관에서 '장해 분류표'는 장해 발생 시 보험금 지급의 기준과 분류를 명확히 하기 위해 사용됩니다.,False,
암보험 가입 후 보험금 청구가 제한되는 조건은?,"암보험 가입 후 면책 기간 및 감액 지급 기간 중에는 보험금 청구가 제한될 수 있습니다. 면책 기간은 가입 후 90일이며, 감액 지급 기간은 가입 후 1년입니다.",암보험 가입 후 보험금 청구가 제한되는 조건은 면책 기간(가입 후 90일) 및 감액 지급 기간(가입 후 1년)입니다.,False,
암보험에서 보험금을 지급하지 않는 주요 사유는 무엇인가요?,"암보험 약관에서 보험금을 지급하지 않는 주요 사유는 고의적 사고, 범죄행위, 고지의무 위반 및 면책 기간 중 사고 등이 있습니다.","암보험에서 보험금을 지급하지 않는 주요 사유는 고의적 사고, 범죄행위, 고지의무 위반 및 면책 기간 중 사고입니다.",False,
암보험 가입 후 해약이 불가능한 시점은 언제인가요?,"암보험 약관에 따르면, 청약 철회 및 계약 취소가 가능한 기간 이후에는 해약이 불가능할 수 있습니다. 청약 철회는 15일, 계약 취소는 3개월 이내에 가능합니다.",암보험 가입 후 해약이 불가능한 시점은 청약 철회(15일) 및 계약 취소(3개월) 기간 이후입니다.,False,
암보험 약관에서 “특약”이란 무엇을 의미하나요?,"특약은 암보험 주계약 외 추가 보장을 제공하는 선택 항목으로, 계약자가 필요에 따라 선택하여 가입할 수 있습니다.","암보험 약관에서 '특약'이란 주계약 외에 추가 보장을 제공하는 선택 사항으로, 계약자가 추가적으로 가입할 수 있는 항목입니다.",False,
암보험에서 “예금자 보호”란 무엇이며 어떤 한도가 적용되나요?,"암보험은 예금자 보호법에 따라 보호되며, 보장 한도는 계약자당 최대 5천만 원입니다.",암보험에서 '예금자 보호'란 보험 계약자가 파산 등의 경우에도 계약자당 최대 5천만 원까지 보호받을 수 있다는 의미입니다.,False,
암보험 가입자의 주소 변경이 보장에 미치는 영향은?,"주소 변경은 보험회사가 통지받아야 하며, 변경 사실을 통지하지 않을 경우 보험금 지급에 영향을 미칠 수 있습니다.",암보험 가입자의 주소 변경은 보험금 지급이나 중요 통지에 영향을 미칠 수 있으므로 즉시 보험회사에 통지해야 합니다.,False,
암보험 약관에서 “손해 사정”은 어떤 상황에서 이루어지나요?,손해 사정은 보험금 지급과 관련하여 보험사와 계약자 간 분쟁이 있을 때 사실 확인 및 공정한 판단을 위해 이루어집니다.,암보험 약관에서 '손해 사정'은 보험금 지급과 관련한 분쟁 발생 시 사실 확인 및 공정한 판단을 위해 수행됩니다.,False,
암보험 가입 후 보험금을 청구하지 않아도 불이익이 있나요?,"보험금을 청구하지 않아도 계약 유지에는 영향이 없지만, 청구하지 않은 보험금은 청구권 소멸시효(3년) 내에 행사해야 합니다.","암보험 가입 후 보험금을 청구하지 않아도 계약 유지에는 영향이 없으나, 청구권 소멸시효(3년) 내에 청구하지 않을 경우 권리가 소멸됩니다.",False,
암보험 약관에서 보장되지 않는 암의 조건은 무엇인가요?,암보험 약관에서 보장되지 않는 암의 조건은 특정 약관에 명시된 면책 사유나 보장 제외 대상에 해당하는 경우입니다.,암보험 약관에서 보장되지 않는 암의 조건은 약관에 명시된 면책 사유나 보장 제외 대상에 해당하는 경우입니다.,False,
암보험 가입 시 보험료 산정에 영향을 미치는 요소는?,"암보험 가입 시 보험료는 피보험자의 나이, 건강 상태, 보장 금액, 납입 기간 등 다양한 요소에 따라 산정됩니다.","암보험 가입 시 보험료 산정에 영향을 미치는 요소는 나이, 건강 상태, 보장 금액 및 납입 기간입니다.",False,
암보험 가입 후 계약이 자동 갱신되나요?,"암보험 약관에 따라 자동 갱신 여부는 가입 상품의 조건에 따라 다릅니다. 갱신형 상품은 계약 갱신이 가능하지만, 갱신 시 보험료가 변경될 수 있습니다.","암보험 가입 후 계약의 자동 갱신 여부는 상품 조건에 따라 달라지며, 갱신형 상품의 경우 자동 갱신이 가능합니다.",False,
암보험의 “납입 면제”가 적용되는 구체적인 사례는 무엇인가요?,"납입 면제는 암 진단 후 특정 조건(예: 고액암 진단, 장해 발생 등)에 해당하는 경우 보험료 납입 의무가 면제됩니다.",암보험의 '납입 면제'는 암 진단이나 고액암 진단 후 장해가 발생한 경우 등에 적용됩니다.,False,
암보험에서 “피보험자”와 “보험 수익자”의 차이는 무엇인가요?,"피보험자는 보장을 받는 대상이며, 보험 수익자는 보험금을 수령하는 자로, 두 역할이 다를 수 있습니다.","암보험에서 '피보험자'는 보장 대상이고, '보험 수익자'는 보험금을 수령하는 자로, 서로 다를 수 있습니다.",False,
암보험 약관에서 “보험금 지급 기준표”는 어떻게 활용되나요?,보험금 지급 기준표는 보험금 지급 사유별 지급 금액 및 조건을 명확히 안내하기 위해 활용됩니다.,암보험 약관에서 '보험금 지급 기준표'는 보험금 지급 사유와 금액을 명확히 제시하기 위한 기준입니다.,False,
암보험 가입자가 암 외에 다른 질병을 앓고 있으면 보장받을 수 있나요?,"암보험은 암 이외의 질병에 대해 보장하지 않지만, 특약에 가입한 경우 특정 질병 보장이 추가될 수 있습니다.","암보험 가입자가 암 외의 질병을 앓고 있으면 기본적으로 보장되지 않지만, 특약에 가입한 경우 보장이 가능합니다.",False,
암보험의 해지 환급금은 어떤 기준으로 계산되나요?,해지 환급금은 납입한 보험료에서 계약 유지 경비 및 보장 비용을 차감한 금액으로 계산됩니다.,암보험의 해지 환급금은 납입한 보험료에서 계약 유지 경비 및 보장 비용을 차감하여 산정됩니다.,False,
암보험 가입 후 계약 내용을 변경하면 추가 비용이 발생하나요?,"계약 변경 시 보험료 조정 및 추가 납입이 발생할 수 있으며, 이는 변경 사항에 따라 달라집니다.",암보험 가입 후 계약 내용을 변경하면 추가 비용이 발생할 수 있습니다.,False,
암보험 약관에서 “계약의 부활”은 언제 가능한가요?,"계약의 부활은 보험료 납입 연체로 해지된 계약을 3년 이내에 청약하여 부활시키는 것으로, 건강 상태 심사를 거칠 수 있습니다.",암보험 약관에서 '계약의 부활'은 해지된 계약을 3년 이내에 재청약하여 효력을 회복시키는 것을 의미합니다.,False,
암보험 약관에서 “전문 금융 소비자”란 무엇인가요?,"전문 금융 소비자는 고도의 금융 지식을 보유한 계약자를 의미하며, 일반 소비자와 달리 청약 철회 및 계약 취소 권한이 제한될 수 있습니다.","암보험 약관에서 '전문 금융 소비자'란 고도의 금융 지식을 보유한 계약자로, 일반 소비자와 다른 권한이 적용됩니다.",False,
암보험 약관에 명시된 “보장 제외 조건”은 무엇인가요?,"보장 제외 조건은 고의적 사고, 범죄행위, 면책 기간 중 발생한 사고, 약관에서 명시된 면책 사유에 해당하는 경우입니다.","암보험 약관에 명시된 '보장 제외 조건'은 고의적 사고, 범죄행위, 면책 기간 중 사고 등이 포함됩니다.",False,
암보험 가입자가 여러 개의 보험에 중복 가입할 경우 보장은 어떻게 되나요?,"암보험 약관에서는 계약자가 여러 개의 보험에 중복 가입한 경우 각각의 보험 약관에 따라 독립적으로 보장을 받을 수 있습니다. 단, 중복 보장이 제한되는 경우도 있으므로 약관을 확인해야 합니다.",가족력은 암 발생 위험 평가에 영향을 미쳐 보험료 할증이나 가입 제한이 발생할 수 있습니다. 정확한 고지로 계약 유지에 유리한 조건을 확보할 수 있습니다.,True,5.0
암보험 약관에서 보장 제외 기간은 어떻게 설정되나요?,"암보험 약관에 따르면, 보장 제외 기간은 보험 가입 후 90일 동안 적용되는 면책 기간으로 설정됩니다. 이 기간 동안 발생한 암 진단에 대해서는 보장이 제외됩니다.","계약 전 알릴 의무는 건강 상태, 병력, 치료 이력, 직업 등을 포함합니다. 의무 위반 시 계약 해지나 보험금 지급 거절의 불이익이 발생할 수 있습니다.",True,5.0
암보험 가입 후 특정 기간 동안 보험금을 청구할 수 없는 이유는?,"특정 기간 동안 보험금을 청구할 수 없는 이유는 면책 기간과 감액 지급 기간에 따른 제한 조건 때문입니다. 면책 기간은 가입 후 90일, 감액 지급 기간은 1년입니다.","특약 가입은 보험료를 증가시키며, 보장 범위와 한도에 따라 비용이 결정됩니다. 특약 선택 시 보험료 부담을 고려해야 합니다.",True,5.0
암보험 약관에서 “청약 철회권”의 조건은 무엇인가요?,"청약 철회권은 보험증권을 받은 날로부터 15일 이내에 행사할 수 있으며, 만 65세 이상 계약자 및 전화로 체결한 계약의 경우 45일 이내에 가능합니다.","희귀암은 약관 조건에 따라 보장되며, 특약 가입 시 보장이 확대될 수 있습니다. 가입 시 보장 조건을 확인하는 것이 중요합니다.",True,5.0
암보험 약관에서 “보험료 연체” 시 발생하는 결과는 무엇인가요?,"보험료 연체 시 보험사는 납입 최고(독촉)를 발송하며, 최고 기간 내에 납입하지 않을 경우 계약이 해지됩니다. 최고 기간은 최소 14일 이상입니다.",암보험 가입 연령 제한은 보통 만 60세에서 70세 사이로 설정됩니다. 정확한 연령 제한은 약관에서 확인 가능합니다.,True,5.0
암보험에서 보장 받으려면 반드시 가입해야 하는 특약은 무엇인가요?,"보장을 받으려면 반드시 가입해야 하는 특약은 약관에서 필수로 지정한 보장 조건에 따라 다르며, 기본 보장은 주계약에 포함됩니다.","면책 기간은 도덕적 해이를 방지하기 위해 설정되며, 이 기간 중 발생한 암은 보장되지 않습니다. 가입 초기 위험 관리를 위한 조치입니다.",True,5.0
암보험 약관에서 계약자가 보험료를 납입하지 못하면 어떻게 되나요?,"보험료를 납입하지 못할 경우 납입 최고 기간 내에 납입해야 하며, 그렇지 않을 경우 계약이 해지될 수 있습니다. 해지된 계약은 일정 조건 하에 부활 가능합니다.",감액 지급 조건은 계약 초기에 보험금 청구가 발생할 때 적용됩니다. 고지 의무 위반 또는 보험료 미납은 영향을 미칠 수 있습니다.,True,5.0
